titre,texte,note,date
10 mails pour se faire rembourser,"10 mails pour se faire rembourser, 3jours pour avoir une personne au téléphone !!! Les conseillers font tout pour éviter de faire le remboursement !!! Il faut rééxpliquer 4 fois à des conseillers différents. Un vrai casse tête. Je déconseille fortement. J ai eu 2 autres complémentaires par le passé et c était beaucoup plus simple. ",1,2026-01-21T00:16:55.000Z
Mutuelle très décevante : remboursement lentilles insuffisant !!,"Je suis très déçue par cette mutuelle. Depuis des années, mes lentilles étaient remboursées sans problème, mais cette année, ils ne remboursent plus que 50 € hors Alan Shop, contre 180 € sur leur site. Or, Alan Shop ne permet pas le suivi personnalisé dont j’ai besoin.Ils forcent l’achat sur leur plateforme plutôt que de soutenir les commerçants locaux. J’ai des corrections qui changent régulièrement et mon opticien propose des lentilles d’essai et un suivi indispensable, impossible via Alan Shop. Cette nouvelle politique ne prend pas en compte les besoins médicaux réels. Très déçue, je ne recommande pas cette mutuelle.",1,2026-01-19T18:15:15.000Z
Quelle deception....,"Alan est parfait quand l outil de traitement automatique fonctionne... en revanche quand ce n est plus le cas, vous entrez dans les meandres profonds et avec un dossier litteralement abandonné, personne a qui parler (le SAV ne peut que ""remonter"" le point, mais ne peut agir sur rien).La promesse de delais courts et simplifies s effondre littéralement, au dela de consommer un temps fou pour exiger un retour...",1,2026-01-19T16:22:54.000Z
J’aurais mis 0 si j’avais pu.,"C’est de loin la PIRE mutuelle que vous pouvez choisir. Ils se cachent derrière une belle interface et une appli gamifiée pour mieux voler votre argent.Après m’avoir validé un soin, ils reviennent sur leur décision plusieurs mois plus tard et me mettent un ‘trop perçu’ injustifié.J’ai beau leur demander à plusieurs reprises la raison de cette modification, mais ils font l’autruche et répondent totalement à côté a chaque fois.Ils ont profité que la date de fin de mon contrat approchait pour faire comptabiliser tous les derniers soins - facturés, reçus et payés plusieurs mois avant ladite date - après la fin du contrat et m’obliger à les rembourser.",1,2026-01-16T21:37:00.000Z
Problème prévoyance,"Tout allait bien jusqu'à ce que je passe en travailleur handicapé. Dossier bloqué pendant 5 mois et, on m'annonce toujours plus d'attente. Aucune réaction de la part des conseillers lorsque je leur parle de ce délai anormal. J'ai dû contacter la médiation de l'assurance ce jour.",1,2026-01-15T18:08:38.000Z
Alan force à acheter les lentilles sur leur plateforme plutôt qu’un opticien de proximité ,"J’ai reçu récemment un mail d’Alan disant qu’ils changent leur politique de remboursement de lentilles. Le voici : « Cette année, votre couverture optique change pour vous donner plus de valeur et moins de démarches. Achetez vos lentilles dans l’application Alan et bénéficiez de 180€ de forfait lentilles versus 85€ dans tout autre point de vente. » J’avais DÉJÀ 180 euros de forfait mais dans n’importe quel point de vente. Ils présentent ça comme une avancée mais en fait le forfait n’est pas meilleur (même somme de 180 euros) sauf que je n’ai plus le choix de préférer mon commerçant de proximité.En résumé ils nous forcent la main pour acheter les lentilles sur leur plateforme plutôt que de soutenir les commerçants locaux. Tout cela étant communiqué par un simple mail, comme si de rien n’était.Je pense sincèrement changer de mutuelle. Mon opticien a passé plusieurs semaines à me trouver les bonnes lentilles gratuitement (4 rendez-vous pour tester la réaction de mon oeil à différents types de lentilles) Je ne compte pas les lâcher d’un coup parce qu’Alan pousse à consommer sur leur plateforme.",1,2026-01-15T14:00:23.000Z
Franchement mutuelle au top,"Franchement mutuelle au top, remboursement super rapide et un Service clients à l’écoute et efficace. J’ai vraiment rien à dire.",5,2026-01-14T12:52:39.000Z
Au top ! ,"Franchement, ils sont géniaux. Remboursement ultra-rapide, service client au top, appli pratique et intuitive. En tant que freelance, c'est vraiment le top. ",5,2026-01-13T19:26:56.000Z
belle escroquerie," belle escroquerie.  Depuis le 1er janvier 2025, cette mutuelle est obligatoire pour tous les agents du ministère de l'economie. De ce que je constate la formule de base est a 70 € (payé 50% par l'agent, 50% par l'administration) or les soins de base (consultation d'un médecin généraliste, détartrage chez le dentiste ... sont remboursés a seulement 100% de la BRSS. Ce qui signifie que le montant du remboursement est le même que si l'on n'avait pas de mutuelle. A titre comparatif, la mutuelle historique du ministère (Mgefi) etait a 45€ par mois avec de meilleurs remboursements.  Au final, c'est une belle escroquerie pour les agents, seul Alan est gagnant. Lamentable",1,2026-01-13T08:40:31.000Z
Rapide et précis,"Les réponses apportées sur la validation d'un devis et les échanges par tchat pour plus d'informations ont été très rapides, claires et précis, de plus, l'interlocutrice été très agréable. A recommander.",5,2026-01-12T12:26:40.000Z
Fuyez ! ,"Fuyez !! Client de chez Alan depuis 4 ans, j'ai vu les garanties qui diminuent drastiquement mais le prix des cotisations s'envoler (presque 100 euros par mois). A ce prix là, Alan se permet même des choses non légales comme demander des photos des paquets de lentilles ouverts en inscrivant un numéro dessus... (paquets que je n'ai pas gardé puisque acheté depuis 2 mois) et des bons de livraison que les opticiens ne veulent pas délivrer (et n'y sont pas tenus légalement). Bref on nage en plein non sens et on sent qu'ils font tout pour ne pas rembourser... Je résilie dès demain pour aller chez une vraie mutuelle, et pas une gamification de leur app qui ne sert à rien ! ",1,2026-01-09T12:49:40.000Z
Service client parfait,Service client parfait,5,2026-01-08T13:25:00.000Z
Parfait ! ,"Retour très réactif à ma demande qui a été réglée en 10mn, avec même une proposition meilleure que celle que j'avais demandée.",5,2026-01-05T20:31:29.000Z
Très bonne mutuelle,Remboursements très très rapides. Contact très facile et réponses aux questions très rapides avec un très bon suivi,5,2026-01-05T15:46:25.000Z
Réponse un dimanche ,Samedi quand je présente ma carte à la pharmacie on me prévient que mes droits sont supprimés !Dimanche on me contacte pour m’expliquer après investigations pourquoi.,5,2026-01-04T16:54:47.000Z
"Réactivité, bons conseils et suivi","Réponse très réactive pourtant en période de fêtes, bons conseils, et suivi jusqu'à résolution du problème. ",5,2026-01-03T22:18:35.000Z
